north_count,south_count,east_count,west_count,north_wait,south_wait,east_wait,west_wait,north_density,south_density,east_density,west_density,emergency_active,peak_factor,target_phase,target_timing_north,target_timing_south,target_timing_east,target_timing_west,target_risk,scenario
89,60,92,74,106.85,80.26,61.41,114.26,89.0,60.0,92.0,74.0,0.0,1.0,0,34.82,25.2,27.38,32.6,2,gridlock
54,70,24,19,69.13,88.01,23.0,21.89,54.0,70.0,24.0,19.0,0.0,0.9,1,35.12,47.42,19.21,18.25,1,morning_rush
54,79,13,8,79.46,71.0,14.95,9.25,54.0,79.0,13.0,8.0,0.0,0.89,1,39.47,47.39,17.04,16.1,2,morning_rush
47,76,24,13,59.03,73.93,21.98,13.77,47.0,76.0,24.0,13.0,0.0,0.75,1,32.92,50.11,19.81,17.16,2,morning_rush
21,21,18,6,9.11,19.13,3.1,3.06,21.0,21.0,18.0,6.0,0.0,0.34,1,26.18,29.17,23.29,17.76,0,balanced
73,53,20,6,99.39,50.93,18.97,9.4,73.0,53.0,20.0,6.0,0.0,0.88,0,54.74,31.1,18.36,15.8,1,morning_rush
72,57,10,5,58.79,47.47,13.45,6.73,72.0,57.0,10.0,5.0,0.0,0.8,0,49.18,37.88,17.06,15.87,1,morning_rush
88,90,62,97,82.14,51.18,104.07,115.13,88.0,90.0,62.0,97.0,0.0,1.0,3,29.68,25.05,27.93,37.34,2,gridlock
5,9,74,48,6.08,11.78,100.06,63.55,5.0,9.0,74.0,48.0,0.0,0.88,2,15.62,16.28,55.63,32.47,1,evening_rush
10,14,18,16,22.13,11.31,8.34,9.0,10.0,14.0,18.0,16.0,0.0,0.2,2,21.72,22.33,23.76,22.92,0,balanced
74,76,11,10,102.95,98.15,15.66,8.59,74.0,76.0,11.0,10.0,0.0,0.8,0,44.22,43.66,16.2,15.92,2,morning_rush
40,76,11,10,41.06,87.82,12.04,13.88,40.0,76.0,11.0,10.0,0.0,0.88,1,27.38,58.96,16.88,16.78,2,morning_rush
16,6,74,50,13.07,5.32,74.89,42.62,16.0,6.0,74.0,50.0,0.0,0.88,2,17.97,15.92,54.26,31.85,1,evening_rush
29,48,22,43,26.75,16.86,10.52,21.51,29.0,48.0,22.0,43.0,1.0,0.5,1,15.0,60.0,15.0,15.0,2,emergency
88,36,18,17,120.73,30.32,23.96,14.37,88.0,36.0,18.0,17.0,0.0,0.71,0,60.0,21.43,17.83,17.15,2,morning_rush
22,13,2,13,16.01,15.96,7.98,18.73,22.0,13.0,2.0,13.0,0.0,0.33,0,26.98,22.07,15.9,22.54,0,balanced
30,52,42,31,131.74,73.59,55.05,156.18,30.0,52.0,42.0,31.0,0.0,0.6,3,30.57,30.46,24.78,34.19,1,storm
84,43,16,14,116.32,63.08,19.79,16.52,84.0,43.0,16.0,14.0,0.0,0.82,0,58.35,27.62,17.23,16.81,2,morning_rush
5,8,17,2,20.18,18.19,6.46,13.74,5.0,8.0,17.0,2.0,0.0,0.23,2,18.21,19.91,22.89,16.11,0,balanced
74,56,24,7,77.51,59.98,29.04,7.32,74.0,56.0,24.0,7.0,0.0,0.97,0,48.51,35.33,20.23,15.93,1,morning_rush
58,36,23,19,88.31,55.87,21.41,28.16,58.0,36.0,23.0,19.0,0.0,0.84,0,50.32,29.72,20.1,19.86,1,morning_rush
76,68,7,16,114.46,90.89,10.5,25.53,76.0,68.0,7.0,16.0,0.0,0.86,0,48.31,38.85,15.68,17.17,2,morning_rush
9,23,7,20,20.75,8.83,24.45,18.16,9.0,23.0,7.0,20.0,0.0,0.15,3,20.25,25.15,19.42,26.02,0,balanced
76,31,24,17,62.7,41.82,28.55,24.36,76.0,31.0,24.0,17.0,0.0,0.94,0,52.57,26.2,21.8,19.42,2,morning_rush
6,4,6,10,12.27,7.97,5.6,8.61,6.0,4.0,6.0,10.0,0.0,0.2,3,18.47,17.08,17.94,20.28,0,balanced
45,58,22,19,41.63,50.59,26.96,30.03,45.0,58.0,22.0,19.0,0.0,0.9,1,33.73,42.88,21.98,21.41,1,morning_rush
77,56,7,17,106.32,46.74,10.09,20.84,77.0,56.0,7.0,17.0,0.0,0.82,0,56.55,29.8,15.89,17.76,2,morning_rush
85,41,18,15,135.52,55.09,20.8,23.04,85.0,41.0,18.0,15.0,0.0,0.94,0,60.0,24.68,17.3,17.01,2,morning_rush
61,47,17,18,69.11,49.32,24.31,15.12,61.0,47.0,17.0,18.0,0.0,0.76,0,47.68,34.12,19.4,18.8,1,morning_rush
17,6,17,2,14.24,2.86,6.17,7.35,17.0,6.0,17.0,2.0,0.0,0.3,0,25.45,17.8,23.58,16.04,0,balanced
77,62,7,8,83.07,97.34,5.65,8.35,77.0,62.0,7.0,8.0,0.0,0.88,0,45.18,43.2,15.73,15.89,2,morning_rush
9,5,85,79,12.39,4.86,75.67,110.58,9.0,5.0,85.0,79.0,0.0,0.77,3,15.91,15.42,40.2,48.47,2,evening_rush
7,11,23,7,8.24,23.16,7.35,12.75,7.0,11.0,23.0,7.0,0.0,0.39,2,18.55,22.88,26.4,18.96,0,balanced
62,90,71,74,41.1,83.24,133.48,85.15,62.0,90.0,71.0,74.0,0.0,1.0,2,21.69,32.26,36.56,29.49,2,gridlock
5,22,76,46,5.8,27.56,104.3,67.06,5.0,22.0,76.0,46.0,0.0,0.93,2,15.56,19.04,54.47,30.93,2,evening_rush
7,11,22,5,10.57,18.0,7.85,2.5,7.0,11.0,22.0,5.0,0.0,0.38,2,18.92,22.34,26.53,17.31,0,balanced
6,23,24,11,24.05,3.66,9.75,23.3,6.0,23.0,24.0,11.0,0.0,0.37,2,19.41,25.49,27.69,22.95,0,balanced
64,83,66,66,95.59,108.18,66.27,117.73,64.0,83.0,66.0,66.0,0.0,1.0,1,28.44,34.64,24.94,31.98,2,gridlock
87,55,13,18,86.29,53.88,14.24,25.6,87.0,55.0,13.0,18.0,0.0,0.77,0,53.64,31.28,16.83,18.25,2,morning_rush
9,8,62,84,10.62,11.17,50.27,87.74,9.0,8.0,62.0,84.0,0.0,0.9,3,16.21,16.09,33.15,54.55,2,evening_rush
19,39,35,44,35.91,10.69,25.89,10.13,19.0,39.0,35.0,44.0,1.0,0.5,3,15.0,15.0,15.0,60.0,2,emergency
18,19,84,56,28.01,30.04,127.28,53.95,18.0,19.0,84.0,56.0,0.0,0.76,2,17.62,17.88,56.77,27.73,2,evening_rush
12,14,88,46,13.36,21.35,133.64,44.3,12.0,14.0,88.0,46.0,0.0,0.81,2,16.31,16.83,60.0,24.31,2,evening_rush
15,8,72,75,21.59,12.5,99.73,112.66,15.0,8.0,72.0,75.0,0.0,0.95,3,16.79,15.78,41.43,46.0,1,evening_rush
8,13,15,2,11.4,20.88,20.7,5.19,8.0,13.0,15.0,2.0,0.0,0.25,2,18.66,22.42,23.53,15.79,0,balanced
66,58,17,9,100.37,52.17,16.93,8.3,66.0,58.0,17.0,9.0,0.0,0.75,0,52.44,33.53,17.81,16.21,1,morning_rush
63,78,81,65,101.79,40.75,147.91,128.69,63.0,78.0,81.0,65.0,0.0,1.0,2,27.64,22.24,38.66,31.46,2,gridlock
3,23,15,5,14.2,16.01,16.02,18.71,3.0,23.0,15.0,5.0,0.0,0.3,1,16.56,27.48,23.14,17.89,0,balanced
5,22,7,12,8.81,9.2,4.87,11.63,5.0,22.0,7.0,12.0,0.0,0.4,1,17.77,27.31,18.52,22.13,0,balanced
9,13,8,19,22.71,10.89,21.99,2.9,9.0,13.0,8.0,19.0,0.0,0.14,3,20.94,21.54,20.2,22.87,0,balanced
48,75,9,15,38.83,98.47,8.15,21.88,48.0,75.0,9.0,15.0,0.0,0.93,1,27.76,58.13,16.25,17.86,1,morning_rush
58,53,7,9,53.65,50.46,9.11,14.34,58.0,53.0,7.0,9.0,0.0,0.97,0,45.06,41.19,16.53,17.23,1,morning_rush
10,8,86,51,11.36,12.22,84.91,44.78,10.0,8.0,86.0,51.0,0.0,0.89,2,16.48,16.21,57.5,29.81,2,evening_rush
4,19,17,22,10.12,6.14,21.21,11.31,4.0,19.0,17.0,22.0,0.0,0.11,3,16.95,23.39,25.71,26.02,0,balanced
22,21,22,27,34.94,29.93,35.84,39.28,22.0,21.0,22.0,27.0,1.0,0.5,3,15.0,15.0,15.0,60.0,2,emergency
78,75,76,81,118.28,46.78,142.27,91.26,78.0,75.0,76.0,81.0,0.0,1.0,2,32.61,22.47,35.7,29.22,2,gridlock
17,21,6,20,15.22,7.88,16.55,22.87,17.0,21.0,6.0,20.0,0.0,0.22,3,23.98,24.29,18.27,27.54,0,balanced
11,19,86,60,16.58,21.53,92.61,50.77,11.0,19.0,86.0,60.0,0.0,0.98,2,16.57,18.02,54.15,31.26,2,evening_rush
21,6,21,20,23.24,23.02,15.45,10.77,21.0,6.0,21.0,20.0,0.0,0.13,0,27.44,18.54,25.45,23.9,0,balanced
23,6,21,2,20.08,20.3,12.03,10.89,23.0,6.0,21.0,2.0,0.0,0.16,0,28.03,18.42,24.87,15.91,0,balanced
20,38,18,26,28.32,23.76,31.39,16.73,20.0,38.0,18.0,26.0,1.0,0.5,1,15.0,60.0,15.0,15.0,2,emergency
5,3,11,16,13.0,12.17,23.78,13.03,5.0,3.0,11.0,16.0,0.0,0.12,3,17.39,16.4,21.71,22.65,0,balanced
13,20,92,69,16.43,27.41,78.16,57.07,13.0,20.0,92.0,69.0,0.0,0.81,2,16.79,18.5,49.79,34.93,2,evening_rush
10,24,81,62,9.84,29.04,123.86,75.01,10.0,24.0,81.0,62.0,0.0,0.75,2,15.93,18.44,52.72,32.91,2,evening_rush
15,16,44,63,15.71,16.38,47.22,61.41,15.0,16.0,44.0,63.0,0.0,0.93,3,18.53,18.83,34.06,48.58,1,evening_rush
20,39,12,38,32.71,21.71,34.74,33.38,20.0,39.0,12.0,38.0,1.0,0.5,3,15.0,15.0,15.0,60.0,2,emergency
10,11,48,59,10.45,9.99,48.03,79.4,10.0,11.0,48.0,59.0,0.0,0.82,3,16.92,17.09,34.52,51.46,1,evening_rush
16,10,66,37,19.48,8.19,75.6,46.55,16.0,10.0,66.0,37.0,0.0,0.75,2,18.85,16.84,54.45,29.86,1,evening_rush
11,6,9,2,9.17,24.15,5.2,3.01,11.0,6.0,9.0,2.0,0.0,0.1,0,20.41,19.16,19.01,15.85,0,balanced
15,13,42,37,23.42,12.8,54.33,55.86,15.0,13.0,42.0,37.0,0.0,0.89,2,20.52,18.76,41.68,39.03,0,evening_rush
10,20,38,35,21.39,32.19,10.91,30.85,10.0,20.0,38.0,35.0,1.0,0.5,3,15.0,15.0,15.0,60.0,2,emergency
48,30,51,40,108.84,95.72,87.17,60.94,48.0,30.0,51.0,40.0,0.0,0.6,0,35.67,26.41,32.76,25.16,1,storm
40,10,48,43,25.34,26.67,15.04,22.82,40.0,10.0,48.0,43.0,1.0,0.5,2,15.0,15.0,60.0,15.0,2,emergency
17,20,79,56,26.42,22.38,77.72,59.43,17.0,20.0,79.0,56.0,0.0,0.96,2,18.33,18.6,48.97,34.11,2,evening_rush
85,68,14,19,68.36,69.66,17.98,26.02,85.0,68.0,14.0,19.0,0.0,0.95,0,45.06,39.44,17.1,18.4,2,morning_rush
38,24,39,30,58.21,56.33,63.73,99.34,38.0,24.0,39.0,30.0,0.0,0.6,3,30.03,24.24,31.62,34.11,1,storm
24,14,17,23,10.25,14.82,11.49,5.89,24.0,14.0,17.0,23.0,0.0,0.12,0,27.47,23.12,24.1,25.74,0,balanced
21,6,18,16,15.76,2.5,9.66,3.32,21.0,6.0,18.0,16.0,0.0,0.2,0,27.86,17.67,24.52,22.25,0,balanced
12,8,23,21,18.42,3.31,11.85,7.49,12.0,8.0,23.0,21.0,0.0,0.33,2,22.89,18.66,27.96,25.63,0,balanced
97,88,74,66,51.44,75.47,99.2,147.1,97.0,88.0,74.0,66.0,0.0,1.0,3,26.12,28.89,30.06,34.93,2,gridlock
65,46,15,19,65.77,53.93,22.73,26.96,65.0,46.0,15.0,19.0,0.0,0.77,0,47.09,34.29,18.61,20.0,1,morning_rush
62,87,74,72,141.66,44.48,56.64,140.65,62.0,87.0,74.0,72.0,0.0,1.0,3,34.0,24.43,24.66,36.9,2,gridlock
7,21,53,33,6.64,19.98,71.81,37.13,7.0,21.0,53.0,33.0,0.0,0.93,2,16.55,21.39,52.9,29.15,1,evening_rush
19,24,45,83,26.49,31.35,57.6,115.51,19.0,24.0,45.0,83.0,0.0,0.72,3,17.95,19.1,26.84,56.12,2,evening_rush
5,15,63,41,7.36,17.77,82.8,58.85,5.0,15.0,63.0,41.0,0.0,0.97,2,15.83,18.2,52.72,33.24,1,evening_rush
6,8,48,66,7.73,12.3,47.96,65.45,6.0,8.0,48.0,66.0,0.0,0.85,3,16.14,16.71,35.67,51.48,1,evening_rush
17,16,46,61,19.75,20.61,67.06,57.61,17.0,16.0,46.0,61.0,0.0,0.91,3,19.0,18.84,39.06,43.1,1,evening_rush
14,23,35,36,15.51,19.78,48.7,33.89,14.0,23.0,35.0,36.0,0.0,0.94,2,20.3,24.6,40.06,35.04,0,evening_rush
91,86,71,82,114.45,112.77,52.9,77.88,91.0,86.0,71.0,82.0,0.0,1.0,0,35.36,33.96,22.95,27.73,2,gridlock
60,36,18,12,75.17,53.22,28.43,18.79,60.0,36.0,18.0,12.0,0.0,0.96,0,50.82,31.08,20.25,17.85,1,morning_rush
4,19,21,23,16.03,2.88,19.74,4.57,4.0,19.0,21.0,23.0,0.0,0.22,2,17.46,23.51,29.05,25.72,0,balanced
84,74,67,93,44.61,114.08,146.58,112.08,84.0,74.0,67.0,93.0,0.0,1.0,3,22.7,30.37,32.95,33.98,2,gridlock
13,16,24,22,7.15,14.92,11.21,19.67,13.0,16.0,24.0,22.0,0.0,0.36,3,21.11,24.07,27.46,28.92,0,balanced
76,33,8,12,77.73,33.58,9.85,11.08,76.0,33.0,8.0,12.0,0.0,0.94,0,60.0,25.41,16.51,17.33,2,morning_rush
24,21,18,20,13.06,3.44,23.88,21.59,24.0,21.0,18.0,20.0,0.0,0.25,3,27.16,23.43,26.65,27.33,0,balanced
5,7,10,23,19.45,3.45,19.65,18.88,5.0,7.0,10.0,23.0,0.0,0.28,3,17.86,17.74,20.76,28.01,0,balanced
86,46,13,13,117.23,57.5,16.65,16.37,86.0,46.0,13.0,13.0,0.0,0.72,0,59.3,27.38,16.67,16.66,2,morning_rush
19,9,85,67,18.65,12.31,88.46,102.92,19.0,9.0,85.0,67.0,0.0,0.91,2,17.27,15.93,44.73,42.07,2,evening_rush
5,21,11,2,6.45,7.66,13.66,23.27,5.0,21.0,11.0,2.0,0.0,0.2,1,17.42,25.48,21.35,16.44,0,balanced
63,73,20,11,72.61,102.21,20.84,15.02,63.0,73.0,20.0,11.0,0.0,0.78,1,36.48,49.17,17.93,16.41,1,morning_rush
7,11,47,74,8.98,10.73,46.24,90.0,7.0,11.0,47.0,74.0,0.0,0.82,3,16.06,16.74,30.2,56.99,1,evening_rush
13,2,19,22,5.78,5.66,2.21,20.26,13.0,2.0,19.0,22.0,0.0,0.24,3,21.15,15.94,23.26,29.67,0,balanced
74,72,87,76,59.85,61.57,139.86,142.43,74.0,72.0,87.0,76.0,0.0,1.0,2,23.67,23.64,37.59,35.1,2,gridlock
8,21,24,23,16.53,23.79,5.92,4.77,8.0,21.0,24.0,23.0,0.0,0.11,1,19.58,29.12,25.64,24.91,0,balanced
89,63,8,15,125.16,70.16,8.52,21.92,89.0,63.0,8.0,15.0,0.0,0.95,0,55.79,31.71,15.7,16.8,2,morning_rush
17,12,8,7,9.49,12.31,6.3,6.14,17.0,12.0,8.0,7.0,0.0,0.23,0,24.14,21.91,18.98,18.47,0,balanced
19,13,92,82,16.9,18.05,101.7,71.28,19.0,13.0,92.0,82.0,0.0,0.93,2,17.05,16.44,49.42,37.1,2,evening_rush
20,19,10,14,15.64,2.58,3.51,18.15,20.0,19.0,10.0,14.0,0.0,0.26,0,27.1,23.39,19.51,23.97,0,balanced
81,37,15,5,106.13,45.67,17.68,5.77,81.0,37.0,15.0,5.0,0.0,0.85,0,60.0,25.28,17.43,15.61,2,morning_rush
81,48,20,17,111.63,61.34,26.29,21.47,81.0,48.0,20.0,17.0,0.0,0.71,0,55.44,28.86,18.22,17.47,2,morning_rush
38,40,11,15,33.81,22.78,34.03,18.18,38.0,40.0,11.0,15.0,1.0,0.5,0,60.0,15.0,15.0,15.0,2,emergency
22,9,9,22,11.81,7.41,12.31,20.22,22.0,9.0,9.0,22.0,0.0,0.23,3,26.07,19.07,19.58,28.46,0,balanced
36,33,31,23,38.02,16.81,32.41,11.86,36.0,33.0,31.0,23.0,1.0,0.5,0,60.0,15.0,15.0,15.0,2,emergency
12,13,79,73,10.48,13.84,108.01,114.37,12.0,13.0,79.0,73.0,0.0,0.99,2,16.03,16.21,44.2,43.55,2,evening_rush
10,5,88,58,15.57,5.74,84.12,89.73,10.0,5.0,88.0,58.0,0.0,0.73,2,16.3,15.51,49.23,38.96,2,evening_rush
9,5,49,34,8.28,6.42,57.9,27.32,9.0,5.0,49.0,34.0,0.0,0.99,2,17.8,16.49,54.39,31.32,1,evening_rush
38,51,18,8,60.77,52.84,20.24,11.98,38.0,51.0,18.0,8.0,0.0,0.89,1,38.82,43.56,20.57,17.04,1,morning_rush
86,70,6,5,91.66,71.69,8.41,4.59,86.0,70.0,6.0,5.0,0.0,0.98,0,50.66,38.2,15.65,15.49,2,morning_rush
22,11,22,9,8.59,19.5,12.96,5.74,22.0,11.0,22.0,9.0,0.0,0.11,2,25.54,21.82,26.72,19.02,0,balanced
15,15,21,15,12.12,13.09,22.69,15.6,15.0,15.0,21.0,15.0,0.0,0.36,2,22.48,22.66,28.34,23.13,0,balanced
56,67,22,11,62.19,92.66,24.83,13.22,56.0,67.0,22.0,11.0,0.0,0.95,1,35.01,49.17,19.2,16.62,1,morning_rush
5,18,10,21,24.2,18.13,16.74,16.11,5.0,18.0,10.0,21.0,0.0,0.22,3,18.08,24.69,20.22,25.8,0,balanced
61,61,60,72,71.16,43.0,112.09,106.32,61.0,61.0,60.0,72.0,0.0,1.0,3,27.28,23.22,33.47,36.04,2,gridlock
15,7,18,4,18.29,14.54,21.69,9.69,15.0,7.0,18.0,4.0,0.0,0.19,2,22.91,18.38,25.23,16.72,0,balanced
24,11,20,24,13.56,23.24,8.67,9.64,24.0,11.0,20.0,24.0,0.0,0.3,0,28.36,22.62,24.89,27.15,0,balanced
6,22,88,36,7.56,32.79,109.13,35.41,6.0,22.0,88.0,36.0,0.0,0.86,2,15.69,19.43,60.0,22.61,2,evening_rush
12,24,49,55,13.76,19.65,41.56,73.83,12.0,24.0,49.0,55.0,0.0,0.81,3,17.59,20.93,33.55,47.94,1,evening_rush
80,64,70,68,86.48,108.72,136.0,90.17,80.0,64.0,70.0,68.0,0.0,1.0,2,29.14,29.08,34.28,27.5,2,gridlock
75,96,63,73,43.43,137.99,124.68,67.44,75.0,96.0,63.0,73.0,0.0,1.0,1,22.42,41.6,30.74,25.24,2,gridlock
48,29,35,14,21.17,27.07,23.74,24.69,48.0,29.0,35.0,14.0,1.0,0.5,0,60.0,15.0,15.0,15.0,2,emergency
7,17,82,76,8.86,22.31,109.05,98.39,7.0,17.0,82.0,76.0,0.0,0.9,2,15.59,16.97,46.24,41.2,2,evening_rush
57,72,7,13,78.84,58.09,6.84,15.52,57.0,72.0,7.0,13.0,0.0,0.83,0,43.75,42.92,16.01,17.32,1,morning_rush
47,48,39,55,82.04,135.5,86.45,120.47,47.0,48.0,39.0,55.0,0.0,0.6,3,26.48,34.1,25.0,34.43,1,storm
9,24,46,49,12.24,20.64,40.45,46.88,9.0,24.0,46.0,49.0,0.0,0.78,3,17.48,23.03,37.65,41.83,1,evening_rush
68,83,69,97,45.86,123.63,103.41,131.65,68.0,83.0,69.0,97.0,0.0,1.0,3,21.23,33.28,27.73,37.77,2,gridlock
24,22,11,23,6.59,22.15,18.21,2.58,24.0,22.0,11.0,23.0,0.0,0.1,1,25.86,29.34,21.57,24.46,0,balanced
19,16,19,4,17.27,23.66,23.9,17.15,19.0,16.0,19.0,4.0,0.0,0.1,2,23.95,23.69,25.36,16.88,0,balanced
51,54,10,8,79.99,81.44,8.87,8.1,51.0,54.0,10.0,8.0,0.0,0.95,1,42.52,44.62,16.61,16.26,1,morning_rush
77,77,70,71,120.5,44.72,121.65,136.77,77.0,77.0,70.0,71.0,0.0,1.0,3,32.72,22.42,31.27,33.58,2,gridlock
38,49,19,17,47.05,61.91,25.26,17.68,38.0,49.0,19.0,17.0,0.0,0.83,1,33.79,45.1,21.32,19.79,1,morning_rush
19,8,68,78,15.85,9.14,90.28,86.51,19.0,8.0,68.0,78.0,0.0,1.0,3,17.38,15.85,42.01,44.77,2,evening_rush
8,14,11,5,22.4,5.34,13.02,11.64,8.0,14.0,11.0,5.0,0.0,0.3,1,20.49,21.44,21.1,17.68,0,balanced
11,21,10,9,23.3,21.52,11.19,24.84,11.0,21.0,10.0,9.0,0.0,0.12,1,21.04,26.09,19.16,20.1,0,balanced
15,8,57,52,14.04,9.7,49.46,67.25,15.0,8.0,57.0,52.0,0.0,0.77,3,18.37,16.62,40.35,44.67,1,evening_rush
10,10,48,59,14.0,9.57,38.43,64.46,10.0,10.0,48.0,59.0,0.0,0.98,3,17.47,17.22,34.58,50.73,1,evening_rush
14,16,48,42,18.69,20.69,74.39,51.0,14.0,16.0,48.0,42.0,0.0,0.84,2,18.7,19.42,46.65,35.23,1,evening_rush
24,11,3,12,11.69,17.14,23.11,23.77,24.0,11.0,3.0,12.0,0.0,0.15,0,26.15,20.82,16.81,22.35,0,balanced
9,16,7,8,12.42,18.34,15.84,24.33,9.0,16.0,7.0,8.0,0.0,0.28,1,19.29,23.76,18.62,19.99,0,balanced
51,79,18,12,45.86,109.5,19.72,18.48,51.0,79.0,18.0,12.0,0.0,0.71,1,27.89,57.55,17.77,16.8,2,morning_rush
10,24,69,48,11.54,32.68,90.15,60.14,10.0,24.0,69.0,48.0,0.0,0.8,2,16.47,20.57,50.63,32.33,1,evening_rush
17,14,63,60,26.71,17.42,76.88,88.72,17.0,14.0,63.0,60.0,0.0,0.89,3,18.26,17.2,41.15,43.39,1,evening_rush
22,8,20,5,12.34,22.03,22.21,9.91,22.0,8.0,20.0,5.0,0.0,0.13,2,25.17,19.62,26.59,17.18,0,balanced
8,12,11,12,11.01,24.02,8.39,3.46,8.0,12.0,11.0,12.0,0.0,0.33,1,19.25,23.59,20.49,20.31,0,balanced
97,62,80,72,60.04,133.43,70.14,133.25,97.0,62.0,80.0,72.0,0.0,1.0,3,27.38,31.66,26.65,34.32,2,gridlock
54,77,16,13,56.82,102.36,14.81,13.61,54.0,77.0,16.0,13.0,0.0,0.91,1,31.41,54.58,17.24,16.77,2,morning_rush
12,12,94,53,11.01,12.02,109.73,47.04,12.0,12.0,94.0,53.0,0.0,1.0,2,16.34,16.37,60.0,27.14,2,evening_rush
8,24,23,19,16.2,2.0,14.66,24.43,8.0,24.0,23.0,19.0,0.0,0.19,3,19.47,24.55,27.4,27.74,0,balanced
9,10,44,72,8.67,14.38,36.51,104.04,9.0,10.0,44.0,72.0,0.0,0.71,3,16.31,16.67,26.66,60.0,1,evening_rush
10,6,37,76,12.46,5.4,47.0,78.49,10.0,6.0,37.0,76.0,0.0,0.77,3,16.88,15.95,28.81,58.35,2,evening_rush
19,20,9,24,2.71,21.6,11.14,14.92,19.0,20.0,9.0,24.0,0.0,0.25,3,22.87,27.95,19.57,28.35,0,balanced
50,52,48,57,67.8,97.71,134.91,135.88,50.0,52.0,48.0,57.0,0.0,0.6,3,24.23,28.39,32.02,35.36,1,storm
24,12,11,12,3.07,21.27,22.82,8.84,24.0,12.0,11.0,12.0,0.0,0.12,0,24.95,22.65,22.26,20.72,0,balanced
43,52,12,6,57.28,50.33,13.03,8.56,43.0,52.0,12.0,6.0,0.0,0.89,1,41.44,43.87,18.24,16.45,1,morning_rush
40,64,20,19,49.54,88.14,21.36,16.22,40.0,64.0,20.0,19.0,0.0,0.93,1,29.41,52.67,19.29,18.63,1,morning_rush
19,19,21,3,10.96,6.55,15.52,21.01,19.0,19.0,21.0,3.0,0.0,0.11,2,24.63,23.64,26.87,16.92,0,balanced
10,18,87,43,13.2,23.49,78.68,42.48,10.0,18.0,87.0,43.0,0.0,0.89,2,16.62,18.69,57.07,27.61,2,evening_rush
19,3,24,5,7.5,15.76,14.28,8.0,19.0,3.0,24.0,5.0,0.0,0.24,2,24.27,16.79,28.8,17.47,0,balanced
43,37,49,20,99.31,145.35,64.4,120.05,43.0,37.0,49.0,20.0,0.0,0.6,1,31.71,36.06,27.86,24.37,1,storm
5,15,89,31,6.74,14.87,113.62,38.55,5.0,15.0,89.0,31.0,0.0,0.8,2,15.57,17.09,60.0,22.01,2,evening_rush
7,7,85,72,10.44,8.79,111.94,89.69,7.0,7.0,85.0,72.0,0.0,0.94,2,15.65,15.62,49.87,38.86,2,evening_rush
18,13,48,66,25.35,18.93,45.71,67.14,18.0,13.0,48.0,66.0,0.0,0.79,3,19.71,17.96,33.24,49.09,1,evening_rush
39,30,15,15,36.88,30.35,20.48,22.26,39.0,30.0,15.0,15.0,0.0,0.71,0,41.71,33.18,22.41,22.7,0,morning_rush
7,12,87,80,6.58,16.83,110.61,78.92,7.0,12.0,87.0,80.0,0.0,0.93,2,15.58,16.27,49.86,38.29,2,evening_rush
52,33,24,18,46.2,48.58,32.28,25.64,52.0,33.0,24.0,18.0,0.0,0.83,0,41.56,32.5,24.62,21.32,1,morning_rush
6,18,11,12,14.93,6.83,7.36,20.65,6.0,18.0,11.0,12.0,0.0,0.25,1,18.48,23.57,20.3,22.92,0,balanced
10,15,87,46,15.76,18.79,78.72,51.74,10.0,15.0,87.0,46.0,0.0,0.8,2,16.66,17.67,55.59,30.07,2,evening_rush
18,20,21,17,6.58,10.1,19.53,6.8,18.0,20.0,21.0,17.0,0.0,0.28,2,23.67,25.5,28.76,23.23,0,balanced
16,22,55,81,15.59,26.81,75.06,103.83,16.0,22.0,55.0,81.0,0.0,0.82,3,16.97,18.45,33.24,51.34,2,evening_rush
40,53,45,44,143.03,121.13,53.17,128.63,40.0,53.0,45.0,44.0,0.0,0.6,1,31.87,33.87,22.61,31.65,1,storm
90,78,70,88,106.13,65.96,75.22,108.55,90.0,78.0,70.0,88.0,0.0,1.0,0,34.21,25.76,25.83,34.2,2,gridlock
7,16,81,55,10.44,13.14,123.83,57.45,7.0,16.0,81.0,55.0,0.0,0.85,2,15.75,16.84,57.98,29.42,2,evening_rush
4,24,15,22,6.25,9.09,13.2,15.97,4.0,24.0,15.0,22.0,0.0,0.38,3,16.92,27.36,23.54,28.37,0,balanced
82,54,6,18,104.81,83.37,9.24,24.52,82.0,54.0,6.0,18.0,0.0,0.97,0,52.04,34.64,15.63,17.69,2,morning_rush
40,39,10,10,24.5,37.94,30.1,34.62,40.0,39.0,10.0,10.0,1.0,0.5,1,15.0,60.0,15.0,15.0,2,emergency
10,4,12,9,6.33,22.85,6.99,14.82,10.0,4.0,12.0,9.0,0.0,0.13,2,19.64,17.73,20.66,20.13,0,balanced
12,8,10,15,14.33,17.43,18.68,19.35,12.0,8.0,10.0,15.0,0.0,0.11,3,20.75,19.12,20.3,23.07,0,balanced
88,57,8,5,112.79,47.99,8.94,4.3,88.0,57.0,8.0,5.0,0.0,0.92,0,59.92,28.71,15.88,15.49,2,morning_rush
14,20,22,2,8.67,3.62,13.61,12.08,14.0,20.0,22.0,2.0,0.0,0.14,2,22.21,24.12,27.78,16.12,0,balanced
71,55,7,19,99.83,76.76,5.71,29.26,71.0,55.0,7.0,19.0,0.0,0.95,0,49.66,36.03,15.77,18.54,1,morning_rush
14,18,24,19,5.03,7.84,2.53,21.87,14.0,18.0,24.0,19.0,0.0,0.11,3,21.44,23.86,25.41,28.0,0,balanced
